NUM_EP,SCORE,STEP_EP,STEP_GLO,AVG_MAX_Q,AVG_LOSS,LEARING_TIME
1,20,21,21,0,0,0.03 secs
2,57,58,79,0,0,0.08 secs
3,19,20,99,0,0,0.03 secs
4,19,20,119,0,0,0.02 secs
5,9,10,129,0,0,0.03 secs
6,25,26,155,0,0,0.03 secs
7,24,25,180,0,0,0.04 secs
8,11,12,192,0,0,0.02 secs
9,14,15,207,0,0,0.03 secs
10,34,35,242,0,0,0.05 secs
11,70,71,313,0,0,0.09 secs
12,23,24,337,0,0,0.03 secs
13,21,22,359,0,0,0.03 secs
14,15,16,375,0,0,0.02 secs
15,9,10,385,0,0,0.02 secs
16,27,28,413,0,0,0.05 secs
17,21,22,435,0,0,0.03 secs
18,20,21,456,0,0,0.02 secs
19,12,13,469,0,0,0.02 secs
20,10,11,480,0,0,0.44 secs
21,26,27,507,0,0,0.03 secs
22,21,22,529,0,0,0.04 secs
23,32,33,562,0,0,0.03 secs
24,23,24,586,0,0,0.02 secs
25,24,25,611,0,0,0.04 secs
26,16,17,628,0,0,0.02 secs
27,25,26,654,0,0,0.05 secs
28,21,22,676,0,0,0.03 secs
29,8,9,685,0,0,0.01 secs
30,9,10,695,0,0,0.02 secs
31,24,25,720,0,0,0.04 secs
32,14,15,735,0,0,0.02 secs
33,37,38,773,0,0,0.05 secs
34,41,42,815,0,0,0.1 secs
35,24,25,840,0,0,0.05 secs
36,17,18,858,0,0,0.02 secs
37,46,47,905,0,0,0.08 secs
38,60,61,966,0,0,0.11 secs
39,36,37,1003,0.0760993909191441,20.8465341361793,0.61 secs
40,39,40,1043,-0.0476750216446817,177.255324650556,2.72 secs
